,Never,Rarely,Sometimes,Frequently,Always,Always-Freq,Never-Rare-Some,Rural Code,Urban Code,Per Less than HS,Per Only HS,Per Some College,Per Bachelors or Higher,Population,Unemployment Rate,Per of Median HH Income,Per in Poverty,Per of Cases,Per of Deaths
2792,0.01,0.018,0.035,0.187,0.75,0.937,0.063,1,1,0.059,0.081,0.114,0.746,236842,0.019,1.55596237182617,0.076,0.012269783231015,0.000574222477432
2492,0.019,0.073,0.091,0.212,0.604,0.816,0.183,1,1,0.044,0.135,0.23,0.59,238412,0.024,2.13458343505859,0.043,0.013392782242505,9.22772343673976E-05
177,0.034,0.028,0.101,0.186,0.651,0.837,0.163,2,2,0.15,0.263,0.258,0.328,239187,0.024,1.06401466369629,0.151,0.02488429555118,0.000192318144381
1952,0.06,0.045,0.067,0.213,0.615,0.828,0.172,1,1,0.102,0.25,0.3,0.348,239859,0.035,1.50097579956055,0.073,0.011515098453675,0.000170933756916
1110,0.058,0.079,0.158,0.209,0.497,0.706,0.295,2,2,0.134,0.334,0.296,0.235,240204,0.054,0.892482604980469,0.241,0.025578258480292,0.001153186458177
2904,0.004,0.03,0.087,0.215,0.664,0.879,0.121,1,1,0.123,0.256,0.341,0.28,242742,0.035,0.685710906982422,0.19,0.013120926745269,0.000107109606084
438,0.035,0.048,0.083,0.193,0.641,0.834,0.166,1,1,0.072,0.166,0.245,0.517,244252,0.027,1.8294108581543,0.045,0.007770663085666,7.77885135024483E-05
1129,0.062,0.083,0.105,0.217,0.533,0.75,0.25,2,2,0.125,0.302,0.252,0.321,244390,0.043,1.17502151489258,0.166,0.025185154875404,0.000343712917877
2885,0.018,0.025,0.095,0.182,0.68,0.862,0.138,1,1,0.078,0.25,0.347,0.325,244835,0.029,1.01163841247559,0.083,0.010055751832867,0.000118447117446
1495,0.033,0.037,0.076,0.199,0.655,0.854,0.146,1,1,0.068,0.288,0.316,0.327,249948,0.029,1.23233116149902,0.091,0.00358474562709,8.80183078080241E-05
2957,0.012,0.035,0.069,0.143,0.74,0.883,0.116,3,2,0.269,0.282,0.289,0.16,250873,0.07,0.707654342651367,0.167,0.041917623658186,0.000864979491615
2615,0.036,0.075,0.11,0.171,0.608,0.779,0.221,2,2,0.16,0.326,0.319,0.196,251565,0.058,0.861485824584961,0.169,0.021827360721881,0.000266332756942
2236,0.031,0.032,0.183,0.192,0.562,0.754,0.246,2,2,0.077,0.329,0.236,0.358,253370,0.034,1.18617919921875,0.072,0.00481114575522,0.000276275802187
1193,0.008,0.009,0.037,0.168,0.778,0.946,0.054,1,1,0.072,0.266,0.304,0.358,255441,0.033,1.05595306396484,0.067,0.0069800854209,0.000262291488054
2645,0.022,0.049,0.046,0.161,0.721,0.882,0.117,2,2,0.157,0.276,0.331,0.237,256623,0.033,0.797545471191406,0.18,0.01716525798545,0.000179251275217
408,0.049,0.054,0.1,0.213,0.584,0.797,0.203,1,1,0.086,0.228,0.316,0.37,258773,0.027,1.43075057983398,0.065,0.010785514717532,0.000216405884694
201,0.011,0,0.046,0.141,0.802,0.943,0.057,1,1,0.068,0.109,0.235,0.588,258826,0.023,1.3934944152832,0.069,0.019542086189177,0.000270451963868
1191,0.028,0.036,0.062,0.113,0.762,0.875,0.126,1,1,0.076,0.243,0.275,0.406,259547,0.032,1.18820693969727,0.057,0.011543188709559,0.000466196873784
667,0.032,0.027,0.037,0.138,0.767,0.905,0.096,1,1,0.092,0.286,0.349,0.273,259686,0.045,0.834046096801758,0.133,0.014871806720424,0.000600725491555
2771,0.066,0.089,0.072,0.287,0.486,0.773,0.227,2,2,0.097,0.294,0.371,0.238,260213,0.03,0.94888053894043,0.069,0.009849623193307,9.60751384442745E-05
1153,0.031,0.073,0.074,0.211,0.611,0.822,0.178,1,1,0.098,0.263,0.304,0.335,260419,0.042,1.39950698852539,0.115,0.01774448100945,0.000771833084376
1873,0.009,0.023,0.044,0.23,0.693,0.923,0.076,2,2,0.09,0.234,0.284,0.392,261191,0.03,0.96619499206543,0.122,0.006344016447734,0.000214402487069
1384,0.044,0.088,0.103,0.262,0.503,0.765,0.235,1,1,0.04,0.211,0.316,0.432,262440,0.028,1.3532585144043,0.046,0.007056851089773,0.000163846974547
645,0.035,0.045,0.083,0.189,0.648,0.837,0.163,1,1,0.079,0.307,0.356,0.258,262966,0.039,0.962130813598633,0.109,0.008126525862659,0.000273799654708
1748,0.019,0.041,0.03,0.176,0.734,0.91,0.09,2,2,0.131,0.321,0.274,0.274,263670,0.051,0.730632019042969,0.113,0.012879736033679,0.000955740129708
3017,0.069,0.053,0.184,0.208,0.486,0.694,0.306,2,2,0.08,0.302,0.321,0.296,264542,0.031,1.02052139282227,0.099,0.014976827876103,0.000192786022635
368,0.047,0.071,0.097,0.223,0.561,0.784,0.215,1,1,0.054,0.214,0.294,0.437,264672,0.026,1.53449447631836,0.064,0.012332245194052,0.000105791319067
1258,0.02,0.059,0.062,0.167,0.693,0.86,0.141,2,2,0.064,0.22,0.335,0.381,265066,0.033,0.953244171142578,0.133,0.005813646412592,0.000305584269578
307,0.025,0.021,0.066,0.142,0.747,0.889,0.112,2,2,0.081,0.298,0.288,0.333,265206,0.036,0.953193130493164,0.078,0.005286456565839,0.000388377336863
314,0.001,0.024,0.053,0.17,0.751,0.921,0.078,2,2,0.076,0.217,0.281,0.425,269043,0.029,0.842596054077148,0.184,0.013343591916534,7.80544373947659E-05
2240,0.016,0.025,0.057,0.136,0.766,0.902,0.098,2,2,0.087,0.39,0.246,0.277,269728,0.046,0.818264923095703,0.166,0.003536896428995,5.93190176770673E-05
2936,0.024,0.003,0.051,0.136,0.786,0.922,0.078,2,2,0.056,0.226,0.396,0.322,271473,0.046,1.00755012512207,0.075,0.0023354072044,1.84180378895875E-05
758,0.031,0.04,0.102,0.228,0.598,0.826,0.173,2,2,0.116,0.307,0.286,0.292,271826,0.036,0.935158004760742,0.153,0.011338135424867,0.000309021212099
224,0.008,0,0.086,0.109,0.797,0.906,0.094,2,2,0.136,0.158,0.306,0.4,273213,0.047,1.06648597717285,0.106,0.004216490430543,1.46405917727195E-05
2729,0.033,0,0.064,0.136,0.767,0.903,0.097,2,2,0.327,0.264,0.225,0.184,276652,0.037,0.820935592651367,0.209,0.022989170510244,0.000462675129766
204,0.026,0.036,0.089,0.146,0.703,0.849,0.151,2,2,0.306,0.258,0.296,0.14,277680,0.081,0.742735290527344,0.17,0.015431431864016,0.000180063382311
2237,0.032,0.023,0.258,0.147,0.539,0.686,0.313,2,2,0.103,0.336,0.256,0.305,278299,0.04,0.957576217651367,0.113,0.009518539412646,0.00055695492977
109,0.081,0.034,0.083,0.16,0.643,0.803,0.198,2,2,0.119,0.291,0.265,0.324,279141,0.026,1.44379852294922,0.089,0.016102973049463,0.000139714337915
2333,0.057,0.074,0.062,0.204,0.602,0.806,0.193,1,1,0.104,0.259,0.317,0.32,280979,0.028,1.21483322143555,0.086,0.011153858473409,9.96515753846373E-05
686,0.031,0.03,0.089,0.193,0.657,0.85,0.15,2,2,0.123,0.32,0.331,0.226,282572,0.057,0.859822006225586,0.161,0.012963067819883,0.000431748368557
220,0.025,0.024,0.037,0.169,0.745,0.914,0.086,2,2,0.091,0.198,0.364,0.346,283111,0.029,0.952451400756836,0.116,0.006297883162435,5.2982752348019E-05
2117,0.046,0.101,0.079,0.25,0.524,0.774,0.226,1,1,0.08,0.256,0.339,0.325,284014,0.028,1.18842178344727,0.117,0.009337567866373,0.00017252670643
69,0.042,0.05,0.049,0.196,0.663,0.859,0.141,2,2,0.062,0.238,0.347,0.353,288000,0.051,1.06876678466797,0.095,0.0065625,4.16666666666667E-05
405,0.035,0.04,0.144,0.158,0.624,0.782,0.219,2,2,0.104,0.243,0.321,0.332,289430,0.033,0.922066192626953,0.148,0.016967833327575,0.000231489479321
2952,0.022,0.051,0.109,0.132,0.685,0.817,0.182,2,2,0.06,0.213,0.37,0.357,290536,0.048,0.990034790039062,0.091,0.002323292122147,3.09772282952887E-05
1755,0.047,0.01,0.052,0.145,0.746,0.891,0.109,1,1,0.071,0.33,0.28,0.319,291636,0.037,1.02576179504395,0.075,0.010585112949019,0.000716646778861
1289,0.042,0.057,0.12,0.251,0.531,0.782,0.219,2,2,0.074,0.286,0.306,0.335,291830,0.028,1.17312927246094,0.078,0.005958948703012,0.000185039235171
411,0.038,0.054,0.125,0.159,0.624,0.783,0.217,1,1,0.153,0.329,0.323,0.195,292256,0.042,0.818999176025391,0.16,0.015287966714114,0.000342165772473
1252,0.062,0.03,0.076,0.237,0.595,0.832,0.168,2,2,0.073,0.217,0.325,0.385,292406,0.035,0.91905517578125,0.173,0.005037516330034,0.000102597073931
1510,0.099,0.082,0.128,0.272,0.418,0.69,0.309,2,2,0.084,0.282,0.333,0.302,293086,0.027,0.789769058227539,0.144,0.004264959772899,3.75316460015149E-05
349,0.051,0.022,0.071,0.156,0.7,0.856,0.144,2,2,0.064,0.191,0.288,0.457,293582,0.031,0.930453720092773,0.208,0.014622831099999,4.76868472862778E-05
1814,0.007,0.009,0.031,0.099,0.854,0.953,0.047,1,1,0.095,0.262,0.291,0.352,294218,0.036,1.17388046264648,0.086,0.015308376781842,0.000550612131141
1168,0.05,0.053,0.046,0.182,0.669,0.851,0.149,2,2,0.05,0.223,0.261,0.467,295003,0.024,1.27930778503418,0.078,0.006938912485636,0.000230506130446
2319,0.044,0.038,0.129,0.214,0.576,0.79,0.211,2,2,0.104,0.287,0.308,0.301,298750,0.023,1.10111778259277,0.119,0.015330543933054,0.000338075313808
1586,0.039,0.017,0.08,0.137,0.726,0.863,0.136,1,1,0.131,0.236,0.282,0.35,300576,0.039,0.807128524780273,0.204,0.01523408389226,0.000562253806026
2263,0.015,0.012,0.034,0.118,0.822,0.94,0.061,2,2,0.094,0.348,0.266,0.292,305285,0.045,1.16271369934082,0.079,0.012588237220958,0.000949932030725
1801,0.006,0.012,0.052,0.142,0.788,0.93,0.07,2,2,0.073,0.241,0.273,0.413,305506,0.036,0.963491516113281,0.117,0.008232244211243,0.000556453883066
