,Never,Rarely,Sometimes,Frequently,Always,Rural Code,Urban Code,Per Less than HS,Per Only HS,Per Some College,Per Bachelors or Higher,Population,Unemployment Rate,Per of Median HH Income,Per in Poverty,Per of Cases,Per of Deaths
2864,0.034,0.062,0.139,0.212,0.553,3.0,2.0,0.165,0.348,0.228,0.259,81948,0.024,0.8793137359619141,0.081,0.010958168594718602,0.00020744862595792454
2865,0.082,0.137,0.212,0.24,0.329,7.0,9.0,0.207,0.361,0.297,0.135,26586,0.042,0.5275856018066406,0.2,0.0022568269013766643,3.761378168961107e-05
2866,0.074,0.124,0.121,0.157,0.523,2.0,2.0,0.188,0.37200000000000005,0.29600000000000004,0.14400000000000002,21566,0.031,0.539917106628418,0.14800000000000002,0.0024575721042381527,0.00013910785495687656
2867,0.023,0.039,0.136,0.288,0.514,6.0,4.0,0.131,0.38,0.28800000000000003,0.201,43616,0.025,0.7726719665527344,0.10300000000000001,0.015475972120322817,0.000962949376375642
2868,0.087,0.079,0.237,0.182,0.415,7.0,11.0,0.16899999999999998,0.379,0.309,0.14300000000000002,30104,0.037000000000000005,0.5487570571899414,0.165,0.0037204358224820623,9.965453095934095e-05
2869,0.019,0.013,0.063,0.216,0.69,6.0,4.0,0.16,0.304,0.358,0.17800000000000002,17631,0.027000000000000003,0.8150409698486328,0.133,0.013385514151210936,0.0007373376439226363
2870,0.05,0.019,0.03,0.115,0.785,1.0,1.0,0.098,0.29600000000000004,0.29100000000000004,0.315,136215,0.028999999999999998,1.1803428649902343,0.066,0.009675880042579745,0.0002569467386117535
2871,0.045,0.035,0.097,0.095,0.728,1.0,1.0,0.063,0.225,0.314,0.39799999999999996,152882,0.027999999999999997,1.4265538024902344,0.054000000000000006,0.008228568438403475,4.578694679556782e-05
2872,0.006,0.021,0.003,0.249,0.721,8.0,4.0,0.136,0.349,0.33799999999999997,0.17600000000000002,6422,0.034,0.7724365997314453,0.11900000000000001,0.005761445032700093,0.0003114294612270321
2873,0.012,0.012,0.06,0.218,0.698,1.0,1.0,0.24100000000000002,0.415,0.218,0.126,11159,0.045,0.5902106857299805,0.21600000000000003,0.02482301281476835,0.0008065238820682857
2874,0.062,0.104,0.264,0.16,0.41,5.0,8.0,0.188,0.363,0.29600000000000004,0.153,40595,0.044000000000000004,0.5703992462158203,0.217,0.0022662889518413596,0.0
2875,0.027,0.017,0.088,0.2,0.669,1.0,1.0,0.13699999999999998,0.36,0.292,0.21100000000000002,40164,0.027999999999999997,0.9137843322753906,0.09699999999999999,0.008664475649835674,0.0001742854297380739
2876,0.123,0.099,0.144,0.266,0.368,2.0,2.0,0.15,0.331,0.294,0.225,53740,0.033,0.6850570678710938,0.12300000000000001,0.0032005954596203944,7.44324525493115e-05
2877,0.079,0.036,0.127,0.127,0.631,6.0,4.0,0.139,0.326,0.331,0.203,18015,0.035,0.7177230834960937,0.159,0.010713294476824868,0.00011101859561476548
2878,0.025,0.075,0.099,0.158,0.643,7.0,8.0,0.252,0.307,0.29600000000000004,0.145,37383,0.046,0.5540924072265625,0.204,0.002247010673300698,8.025038118931065e-05
2879,0.096,0.075,0.172,0.21,0.447,6.0,6.0,0.14,0.384,0.29100000000000004,0.185,28684,0.036000000000000004,0.6347896575927734,0.128,0.003555989401757077,0.0001045879235810905
2880,0.006,0.021,0.024,0.162,0.786,1.0,1.0,0.055999999999999994,0.18100000000000002,0.308,0.45399999999999996,68280,0.027000000000000003,1.19698974609375,0.051,0.004510837727006444,4.393673110720563e-05
2881,0.032,0.02,0.065,0.17,0.712,1.0,1.0,0.075,0.12,0.184,0.621,159428,0.021,1.3415412902832031,0.086,0.01763178362646461,0.0003700730110143764
2882,0.174,0.125,0.075,0.273,0.352,2.0,2.0,0.163,0.304,0.292,0.24100000000000002,16762,0.038,0.49270965576171877,0.218,0.003519866364395657,0.0
2883,0.018,0.15,0.068,0.125,0.639,6.0,6.0,0.175,0.39,0.27699999999999997,0.159,6478,0.027000000000000003,0.5852153015136718,0.172,0.0072553257178141406,0.0
2884,0.023,0.019,0.05,0.075,0.833,3.0,2.0,0.091,0.187,0.19699999999999998,0.526,47266,0.024,0.7678335571289062,0.221,0.009964879617484027,0.0002750391401853341
2885,0.018,0.025,0.095,0.182,0.68,1.0,1.0,0.078,0.25,0.34700000000000003,0.325,244835,0.028999999999999998,1.011638412475586,0.083,0.010055751832867032,0.00011844711744644352
2886,0.044,0.045,0.126,0.177,0.608,1.0,1.0,0.091,0.322,0.354,0.23199999999999998,17370,0.032,0.75437744140625,0.094,0.010420264824409902,0.0012089810017271157
2887,0.184,0.017,0.133,0.188,0.478,6.0,6.0,0.13699999999999998,0.433,0.278,0.153,5538,0.042,0.5471616744995117,0.145,0.0021668472372697724,0.0
