,Never,Rarely,Sometimes,Frequently,Always,Always-Freq,Never-Rare-Some,Rural Code,Urban Code,Per Less than HS,Per Only HS,Per Some College,Per Bachelors or Higher,Population,Unemployment Rate,Per of Median HH Income,Per in Poverty,Per of Cases,Per of Deaths
1091,0.058,0.147,0.135,0.266,0.394,0.66,0.34,8,7,0.222,0.388,0.261,0.129,12294,0.039,0.913617553710937,0.171,0.002684236212787,0
1392,0.11,0.092,0.122,0.204,0.473,0.677,0.324,8,5,0.203,0.407,0.259,0.131,12297,0.07,0.905221252441406,0.209,0.01658941205172,0.000406603236562
2712,0.034,0.066,0.061,0.226,0.613,0.839,0.161,6,6,0.316,0.316,0.248,0.12,12337,0.037,0.670679550170898,0.216,0.009402610034855,8.10569830590905E-05
753,0.135,0.219,0.171,0.253,0.223,0.476,0.525,6,4,0.118,0.47,0.287,0.125,12353,0.031,0.910009231567383,0.112,0.005909495669068,8.09519954666883E-05
1080,0.112,0.099,0.102,0.232,0.455,0.687,0.313,6,6,0.195,0.42,0.238,0.147,12359,0.054,0.799142684936523,0.215,0.003560158588883,0
879,0.153,0.212,0.126,0.167,0.341,0.508,0.491,7,11,0.081,0.34,0.375,0.204,12369,0.035,0.752724609375,0.173,0.001131861912847,0
2662,0.038,0.116,0.21,0.176,0.46,0.636,0.364,6,6,0.116,0.408,0.321,0.155,12388,0.053,0.676160125732422,0.181,0.007749434937036,8.07232805941233E-05
750,0.052,0.089,0.163,0.2,0.495,0.695,0.304,8,5,0.128,0.426,0.308,0.137,12389,0.033,0.909071960449219,0.094,0.003309387359755,0
419,0.057,0.051,0.231,0.192,0.468,0.66,0.339,3,2,0.165,0.394,0.338,0.103,12404,0.036,0.813736877441406,0.153,0.007255723960013,0
629,0.124,0.05,0.189,0.141,0.496,0.637,0.363,8,6,0.178,0.315,0.342,0.165,12417,0.06,0.794977722167969,0.129,0.004429411290972,0
2459,0.08,0.118,0.136,0.214,0.453,0.667,0.334,8,7,0.155,0.454,0.285,0.105,12422,0.046,0.862383346557617,0.161,0.007728224118499,0
783,0.044,0.11,0.239,0.193,0.413,0.606,0.393,7,9,0.091,0.37,0.367,0.171,12426,0.036,0.674227828979492,0.193,0.003219056816353,0.000241429261226
59,0.055,0.068,0.118,0.197,0.562,0.759,0.241,8,6,0.158,0.378,0.246,0.218,12427,0.045,0.564196166992188,0.364,0.02945199967812,0.001448459000563
130,0.105,0.121,0.226,0.197,0.351,0.548,0.452,9,9,0.154,0.372,0.356,0.118,12477,0.04,0.671685028076172,0.177,0.002163981726377,0
987,0.076,0.058,0.084,0.339,0.443,0.782,0.218,8,5,0.229,0.421,0.227,0.124,12500,0.062,0.808481292724609,0.194,0.00272,8E-05
174,0.067,0.092,0.11,0.234,0.498,0.732,0.269,9,9,0.204,0.363,0.305,0.128,12506,0.047,0.753365936279297,0.193,0.004158004158004,7.99616184231569E-05
2680,0.143,0.062,0.038,0.245,0.512,0.757,0.243,8,4,0.152,0.418,0.312,0.117,12514,0.03,1.02518577575684,0.134,0.003595972510788,7.99105002397315E-05
1503,0.144,0.133,0.159,0.241,0.323,0.564,0.436,3,2,0.129,0.454,0.264,0.153,12547,0.031,0.94112419128418,0.146,0.002550410456683,7.97003267713398E-05
2902,0.063,0.076,0.134,0.163,0.564,0.727,0.273,4,5,0.172,0.312,0.302,0.213,12554,0.041,0.494488105773926,0.195,0.013382188943763,0.00023896765971
878,0.172,0.299,0.173,0.125,0.232,0.357,0.644,7,9,0.082,0.359,0.383,0.177,12562,0.026,0.877748489379883,0.11,0.035026269702277,7.96051584142652E-05
3002,0.053,0.104,0.166,0.111,0.567,0.678,0.323,6,6,0.144,0.441,0.276,0.139,12573,0.055,0.760393753051758,0.235,0.000477213075638,0
1428,0.119,0.133,0.142,0.135,0.471,0.606,0.394,8,7,0.168,0.373,0.303,0.156,12586,0.068,0.950792541503906,0.197,0.02439218178929,0.000397266804386
11,0.049,0.038,0.126,0.219,0.568,0.787,0.213,9,10,0.186,0.382,0.302,0.13,12589,0.047,0.768924713134766,0.226,0.021923901819048,0.000953213122567
1290,0.02,0.04,0.143,0.223,0.575,0.798,0.203,7,9,0.109,0.394,0.324,0.173,12592,0.076,0.795319366455078,0.108,0.001270648030496,7.9415501905972E-05
2134,0.146,0.09,0.203,0.258,0.303,0.561,0.439,6,6,0.183,0.374,0.296,0.147,12627,0.053,0.764835510253906,0.202,0.003167814999604,0
994,0.114,0.081,0.126,0.241,0.438,0.679,0.321,7,12,0.261,0.364,0.232,0.143,12630,0.075,0.63929500579834,0.292,0.001979414093428,0
1931,0.036,0.057,0.181,0.243,0.482,0.725,0.274,3,2,0.12,0.303,0.383,0.194,12726,0.038,0.915208740234375,0.159,0.004479019330504,7.85792865000786E-05
2550,0.03,0.023,0.074,0.115,0.759,0.874,0.127,7,8,0.273,0.366,0.236,0.125,12728,0.039,0.752061080932617,0.206,0.010763670647392,0.000314267756128
998,0.059,0.067,0.26,0.177,0.438,0.615,0.386,7,9,0.121,0.46,0.266,0.153,12747,0.05,0.844764251708984,0.158,0.00384404173531,0
2733,0.046,0.081,0.171,0.168,0.535,0.703,0.298,6,5,0.215,0.337,0.288,0.161,12769,0.036,0.664699249267578,0.149,0.003915733416869,7.83146683373796E-05
2371,0.11,0.144,0.183,0.237,0.326,0.563,0.437,6,6,0.077,0.347,0.247,0.329,12797,0.036,1.05846328735352,0.095,0.006173321872314,0.000156286629679
794,0.341,0.07,0.124,0.238,0.227,0.465,0.535,6,6,0.118,0.379,0.307,0.196,12836,0.028,0.868704223632813,0.143,0.003349953256466,7.79058896852602E-05
392,0.089,0.031,0.117,0.256,0.508,0.764,0.237,6,6,0.124,0.417,0.287,0.172,12873,0.05,0.776674728393555,0.185,0.010020974131904,0.000233045910044
1582,0.191,0.171,0.13,0.196,0.313,0.509,0.492,9,10,0.247,0.375,0.275,0.103,12873,0.048,0.616941184997559,0.206,0.002641186980502,0
997,0.066,0.097,0.133,0.17,0.535,0.705,0.296,3,2,0.219,0.427,0.228,0.126,12879,0.048,0.886118316650391,0.18,0.022594921965991,0.001164686699278
581,0.068,0.144,0.299,0.147,0.342,0.489,0.511,6,7,0.144,0.385,0.355,0.116,12882,0.059,0.645059967041016,0.191,0.005666821922062,0.000155255395125
2631,0.038,0.065,0.046,0.255,0.597,0.852,0.149,6,6,0.259,0.326,0.255,0.159,12893,0.038,0.667025756835937,0.185,0.015744977894982,0.000542930272241
1098,0.088,0.084,0.167,0.21,0.451,0.661,0.339,8,6,0.186,0.461,0.255,0.098,12942,0.04,0.939203186035156,0.163,0.00610415700819,7.72678102302581E-05
476,0.078,0.049,0.113,0.21,0.55,0.76,0.24,6,6,0.272,0.341,0.301,0.086,12947,0.046,0.559063758850098,0.294,0.013439406812389,0.000772379701861
612,0.011,0.082,0.167,0.172,0.567,0.739,0.26,3,2,0.1,0.36,0.338,0.202,12961,0.043,0.799991302490234,0.1,0.003009027081244,7.71545405447111E-05
616,0.136,0.029,0.109,0.217,0.508,0.725,0.274,6,4,0.121,0.444,0.311,0.124,12969,0.043,0.752990798950195,0.137,0.001465031999383,0
78,0.042,0.043,0.049,0.233,0.633,0.866,0.134,7,11,0.101,0.313,0.326,0.26,12998,0.056,1.03194175720215,0.071,0.001230958609017,0
145,0.035,0.016,0.194,0.201,0.554,0.755,0.245,3,2,0.187,0.503,0.221,0.089,13024,0.044,0.903141555786133,0.271,0.08968058968059,0.000844594594595
3018,0.039,0.106,0.172,0.269,0.414,0.683,0.317,8,6,0.083,0.415,0.322,0.179,13031,0.042,0.910092391967774,0.095,0.003146343335124,0.000153480162689
2097,0.09,0.165,0.218,0.147,0.38,0.527,0.473,8,4,0.202,0.462,0.221,0.115,13085,0.056,0.788719711303711,0.187,0.002292701566679,0.000152846771112
2524,0.017,0.064,0.213,0.235,0.471,0.706,0.294,6,6,0.155,0.357,0.302,0.186,13094,0.042,0.735291366577148,0.166,0.016343363372537,0.000305483427524
564,0.111,0.206,0.202,0.247,0.233,0.48,0.519,6,5,0.123,0.32,0.348,0.209,13099,0.023,0.923261566162109,0.127,0.003969768684632,0
2789,0.013,0.069,0.116,0.13,0.672,0.802,0.198,1,1,0.165,0.392,0.285,0.159,13145,0.032,0.785866546630859,0.093,0.005553442373526,7.60745530620008E-05
921,0.01,0.116,0.161,0.136,0.577,0.713,0.287,3,2,0.055,0.391,0.34,0.213,13171,0.029,0.977220001220703,0.109,0.010933110621821,7.59243793181991E-05
1538,0.129,0.097,0.141,0.221,0.413,0.634,0.367,6,6,0.255,0.396,0.225,0.124,13180,0.041,0.641429214477539,0.277,0.009787556904401,0
598,0.062,0.115,0.145,0.306,0.372,0.678,0.322,7,9,0.101,0.372,0.376,0.152,13184,0.045,0.713416748046875,0.138,0.00098604368932,0
1505,0.285,0.149,0.07,0.167,0.328,0.495,0.504,6,6,0.186,0.445,0.264,0.105,13185,0.051,0.693211364746094,0.187,0.005536594615093,0.000151687523701
2756,0.432,0.023,0.088,0.171,0.286,0.457,0.543,7,11,0.113,0.31,0.352,0.224,13188,0.028,0.780252304077148,0.118,0.008795875037913,0
136,0.081,0.07,0.145,0.145,0.56,0.705,0.296,6,6,0.171,0.373,0.308,0.147,13202,0.033,0.845104064941406,0.168,0.022269353128314,0.000151492198152
3092,0.201,0.169,0.111,0.223,0.296,0.519,0.481,7,9,0.074,0.291,0.39,0.245,13211,0.036,0.839581604003906,0.13,0.001059722958141,0
13,0.148,0.158,0.195,0.169,0.329,0.498,0.501,9,10,0.245,0.363,0.291,0.102,13235,0.03,0.783488845825195,0.166,0.015413675859464,0.000377786173026
1108,0.078,0.052,0.17,0.291,0.409,0.7,0.3,6,6,0.171,0.417,0.288,0.124,13241,0.059,0.727831268310547,0.244,0.026282002869874,0.002265689902575
2841,0.017,0.097,0.064,0.154,0.668,0.822,0.178,8,4,0.13,0.359,0.269,0.242,13261,0.022,0.868263778686523,0.093,0.004599954754543,7.5409094336777E-05
1049,0.057,0.081,0.21,0.296,0.357,0.653,0.348,8,7,0.263,0.402,0.225,0.11,13275,0.089,0.715898666381836,0.232,0.002485875706215,0
2989,0.048,0.063,0.116,0.14,0.634,0.774,0.227,8,7,0.165,0.522,0.175,0.138,13275,0.044,0.917713088989258,0.157,0.001431261770245,0
2135,0.089,0.037,0.146,0.213,0.514,0.727,0.272,7,9,0.184,0.392,0.295,0.129,13279,0.049,0.691149215698242,0.214,0.008057835680398,7.53068755177348E-05
279,0.041,0.142,0.162,0.284,0.371,0.655,0.345,7,8,0.091,0.404,0.335,0.171,13283,0.034,0.820087127685547,0.122,0.001882104946172,7.52841978468719E-05
1562,0.126,0.254,0.161,0.15,0.308,0.458,0.541,9,10,0.2,0.42,0.271,0.109,13288,0.055,0.623755989074707,0.197,0.003085490668272,0
1069,0.133,0.116,0.071,0.182,0.498,0.68,0.32,9,11,0.266,0.371,0.227,0.136,13309,0.054,0.716338806152344,0.265,0.0021038395071,0
1588,0.136,0.196,0.147,0.25,0.271,0.521,0.479,6,6,0.118,0.358,0.35,0.174,13319,0.074,0.763659896850586,0.261,0.023950747053082,0.000675726405886
1036,0.183,0.068,0.092,0.235,0.421,0.656,0.343,9,10,0.257,0.426,0.196,0.122,13329,0.065,0.668631362915039,0.278,0.010503413609423,0.001050341360942
3063,0.059,0.081,0.079,0.15,0.631,0.781,0.219,9,12,0.088,0.403,0.34,0.169,13351,0.044,0.759789352416992,0.149,0.00157291588645,0
648,0.238,0.031,0.292,0.126,0.313,0.439,0.561,6,6,0.112,0.442,0.293,0.154,13359,0.053,0.750838012695312,0.121,0.003143947900292,0
426,0.077,0.034,0.058,0.204,0.627,0.831,0.169,6,6,0.248,0.396,0.243,0.113,13390,0.038,0.599015350341797,0.282,0.018073188946975,0.001045556385362
404,0.065,0.094,0.15,0.196,0.495,0.691,0.309,6,4,0.267,0.391,0.237,0.105,13392,0.038,0.6923486328125,0.259,0.028151135005974,0.000224014336918
2429,0.142,0.165,0.151,0.212,0.33,0.542,0.458,8,7,0.243,0.421,0.214,0.121,13427,0.041,0.68597785949707,0.214,0.007298726446712,0.000148953600953
1934,0.036,0.014,0.154,0.299,0.498,0.797,0.204,8,3,0.135,0.308,0.354,0.204,13463,0.05,0.885272216796875,0.15,0.004828047240585,0.00014855529971
682,0.19,0.144,0.095,0.239,0.332,0.571,0.429,6,6,0.087,0.384,0.378,0.152,13537,0.038,0.742472381591797,0.145,0.004210681834971,0
1410,0.015,0.112,0.07,0.262,0.541,0.803,0.197,8,7,0.229,0.356,0.329,0.086,13586,0.078,1.05907073974609,0.218,0.016634771087885,0.000809656999853
2666,0.057,0.049,0.11,0.152,0.631,0.783,0.216,2,2,0.163,0.417,0.331,0.089,13595,0.063,0.716538619995117,0.228,0.006325855093784,0.000294225818316
1547,0.067,0.133,0.171,0.16,0.469,0.629,0.371,3,2,0.101,0.439,0.271,0.189,13615,0.024,1.05844009399414,0.091,0.002717590892398,0
138,0.086,0.121,0.133,0.23,0.43,0.66,0.34,9,10,0.149,0.378,0.335,0.138,13629,0.055,0.820746612548828,0.159,0.003228410008071,7.33729547288869E-05
2539,0.045,0.075,0.059,0.2,0.621,0.821,0.179,7,9,0.162,0.362,0.278,0.198,13635,0.032,0.845075225830078,0.135,0.007847451411808,0.0002200220022
335,0.046,0.125,0.12,0.249,0.46,0.709,0.291,3,2,0.151,0.373,0.299,0.177,13639,0.048,0.899151992797851,0.14,0.027348046044432,0.000146638316592
1324,0.078,0.158,0.163,0.261,0.34,0.601,0.399,6,6,0.084,0.382,0.355,0.178,13653,0.042,0.727139739990234,0.122,0.006006006006006,0
2071,0.04,0.144,0.139,0.291,0.386,0.677,0.323,8,7,0.119,0.522,0.24,0.119,13654,0.083,0.821596450805664,0.14,0.006518236414238,0.001318295005127
1721,0.044,0.168,0.422,0.184,0.182,0.366,0.634,6,6,0.063,0.295,0.361,0.281,13679,0.027,0.944051208496094,0.094,0.005336647415747,0
1382,0.061,0.211,0.157,0.203,0.367,0.57,0.429,7,9,0.096,0.372,0.396,0.136,13682,0.062,0.679775695800781,0.125,0.001681040783511,0
