0.042,0.095,0.127,0.252,0.485,2,2,0.136,0.328,0.29,0.245,0.81209,0.026,1.203569565,0.114,0.019973156,0.000455615
0.114,0.026,0.188,0.285,0.387,6,6,0.185,0.445,0.244,0.127,0.36633,0.035,0.825017853,0.205,0.027843747,0.000409467
0.096,0.103,0.178,0.122,0.501,3,2,0.155,0.329,0.339,0.177,1.02268,0.033,0.831488647,0.188,0.018950209,0.000234678
0.138,0.048,0.151,0.233,0.429,6,6,0.176,0.415,0.279,0.129,0.16302,0.031,0.853991623,0.17,0.010734879,0.000306711
0.065,0.071,0.223,0.156,0.484,6,6,0.232,0.368,0.271,0.129,0.31362,0.028,0.866778717,0.161,0.037529494,0.000637714
0.176,0.131,0.089,0.158,0.445,3,2,0.209,0.372,0.308,0.111,0.26271,0.029,0.832299957,0.161,0.008602642,0.0000381
0.03,0.053,0.127,0.167,0.623,8,6,0.241,0.368,0.29,0.101,0.08111,0.056,0.554345093,0.317,0.029836025,0.001356183
0.026,0.061,0.084,0.191,0.639,3,2,0.164,0.426,0.269,0.141,0.14651,0.039,0.787023621,0.205,0.03119241,0.001706368
0.066,0.068,0.17,0.258,0.438,3,2,0.198,0.335,0.287,0.18,0.17205,0.036,0.938691559,0.172,0.01453066,0.000232491
0.085,0.079,0.135,0.268,0.433,3,2,0.143,0.316,0.33,0.21,1.05882,0.03,0.96845726,0.194,0.012400597,0.000132223
0.092,0.089,0.11,0.249,0.46,6,5,0.175,0.408,0.275,0.142,0.51626,0.033,0.856116333,0.147,0.015399217,0.0000969
0.049,0.037,0.107,0.179,0.628,1,1,0.103,0.268,0.306,0.324,6.58573,0.029,1.045508118,0.162,0.017735316,0.000344685
0.107,0.045,0.132,0.189,0.527,8,7,0.176,0.399,0.3,0.125,0.13805,0.031,0.824515686,0.153,0.014197754,0.000144875
0.093,0.119,0.141,0.179,0.469,3,2,0.126,0.36,0.275,0.239,0.92729,0.033,0.930791397,0.157,0.011172341,0.000129409
0.162,0.08,0.088,0.251,0.419,3,2,0.21,0.415,0.258,0.117,0.32924,0.031,0.923238907,0.177,0.009203013,0
0.053,0.064,0.138,0.183,0.562,3,2,0.095,0.241,0.323,0.341,1.64542,0.027,1.046145554,0.155,0.015783204,0.000261331
0.102,0.034,0.133,0.336,0.395,2,2,0.157,0.303,0.285,0.255,0.98915,0.026,1.250294571,0.12,0.011899105,0.000131426
0.12,0.073,0.145,0.199,0.464,2,2,0.225,0.386,0.248,0.141,0.09726,0.057,0.6553862,0.266,0.057269175,0.002673247
0.008,0.033,0.241,0.172,0.545,6,6,0.183,0.301,0.309,0.207,0.18068,0.043,0.662166061,0.293,0.017378791,0.000664158
0.062,0.05,0.123,0.177,0.589,2,2,0.089,0.208,0.286,0.417,3.72909,0.025,1.325240021,0.115,0.013169433,0.0000804
0.033,0.151,0.118,0.186,0.512,7,11,0.162,0.398,0.286,0.154,0.18863,0.035,0.750188293,0.248,0.027143084,0.000742194
0.129,0.064,0.246,0.207,0.353,7,11,0.203,0.348,0.317,0.131,0.29709,0.034,0.862934875,0.169,0.018782187,0.000807836
0.075,0.064,0.129,0.253,0.479,4,5,0.191,0.311,0.305,0.192,0.96774,0.025,0.94479538,0.157,0.030245727,0.000320334
0.077,0.07,0.102,0.244,0.506,2,2,0.138,0.335,0.298,0.229,4.1321,0.037,0.955979233,0.177,0.020623896,0.000469495
0.112,0.041,0.182,0.288,0.378,7,11,0.163,0.461,0.235,0.141,0.20733,0.049,0.772729874,0.233,0.020932812,0.000192929
